Isolate,BAPS,MLST,NGMAST,ngSTar
19AR0169,5,13915,21017,4006
19AR0170,1,13292,9208,439
19AR0172,1,9362,18982,845
19AR0173,11,1579,5,139
19AR0174,10,7363,8115,158
19AR0175,10,7363,2400,158
19AR0176,15,1601,21010,4010
19AR0185,15,1601,21010,4010
19AR0186,15,1601,21010,4010
19AR0187,10,7363,2400,158
19AR0189,4,11411,21016,2819
19AR0191,6,7359,21023,231
19AR0193,13,13266,12526,1804
19AR0194,6,7359,21023,231
19AR0195,6,7359,4186,231
19AR0196,4,8116,21037,2819
19AR0212,13,13266,12526,1804
19AR0213,11,1579,16487,139
19AR0214,10,7363,2400,158
19AR0215,15,1601,21010,4010
19AR0216,2,8156,13489,442
19AR0219,15,1601,21010,4010
19AR0224,15,1601,21010,4010
19AR0225,8,1901,21006,1148
19AR0226,2,8156,13489,442
19AR0229,3,12041,21020,4016
19AR0230,2,8156,13489,442
19AR0233,1,11864,5049,439
19AR0234,2,8156,5441,442
19AR0235,1,11864,5049,439
19AR0236,7,13913,21003,2839
19AR0262,15,1601,21010,4010
19AR0263,8,10314,11461,2148
19AR0264,2,8156,13489,442
19AR0265,14,7365,356,4005
19AR0269,1,11864,5049,439
19AR0270,15,1601,21010,4010
19AR0271,14,7365,356,4005
19AR0272,6,7359,4186,231
19AR0273,13,13266,12526,1804
19AR0274,7,13913,21003,2839
19AR0275,13,13266,12526,1804
19AR0276,7,13913,21011,2839
19AR0278,8,10314,21038,1816
19AR0280,1,11428,1498,4000
19AR0281,7,13913,21009,2839
19AR0293,9,1599,20163,2152
19AR0294,10,7363,2400,158
19AR0295,4,11411,21016,2819
19AR0296,4,11411,21016,2819
19AR0297,4,11411,21016,2819
19AR0306,13,13266,12526,1804
19AR0307,5,13915,21017,4006
19AR0308,5,13915,21017,4006
19AR0309,8,1583,17370,2875
19AR0310,4,11411,21016,2819
19AR0311,15,1601,21010,4010
19AR0312,12,15000,21018,4014
19AR0314,2,8156,13489,442
19AR0315,12,15000,21039,4013
19AR0316,4,8116,21019,2819
19AR0317,13,8143,9918,4007
19AR0321,13,13266,12526,1804
