Isolate,Year
15AR0778,2014/15
15AR0788,2014/15
15AR0791,2014/15
15AR0792,2014/15
15AR0813,2014/15
15AR0822,2014/15
15AR0823,2014/15
15AR0824,2014/15
15AR0825,2014/15
15AR0827,2014/15
15AR0871,2014/15
15AR0872,2014/15
15AR0891,2014/15
15AR0892,2014/15
15AR0893,2014/15
15AR0894,2014/15
15AR0896,2014/15
15AR0897,2014/15
15AR0911,2014/15
15AR0925,2014/15
15AR0926,2014/15
15AR0963,2014/15
15AR0964,2014/15
15AR0965,2014/15
15AR0966,2014/15
15AR0968,2014/15
15AR0969,2014/15
15AR1031,2014/15
15AR1033,2014/15
15AR1034,2014/15
15AR1035,2014/15
15AR1047,2014/15
15AR1048,2014/15
15AR1050,2014/15
15AR1051,2014/15
15AR1052,2014/15
15AR1053,2014/15
15AR1054,2014/15
15AR1055,2014/15
15AR1056,2014/15
15AR1057,2014/15
15AR1058,2014/15
15AR1059,2014/15
15AR1060,2014/15
15AR1062,2014/15
15AR1063,2014/15
15AR1064,2014/15
15AR1065,2014/15
15AR1066,2014/15
15AR1067,2014/15
15AR1068,2014/15
15AR1069,2014/15
15AR1070,2014/15
15AR1151,2014/15
15AR1200,2014/15
15AR1201,2014/15
15AR1202,2014/15
15AR1203,2014/15
15AR1204,2014/15
15AR1205,2014/15
15AR1206,2014/15
15AR1228,2014/15
15AR1319,2014/15
15AR1320,2014/15
15AR1322,2014/15
15AR1324,2014/15
15AR1325,2014/15
15AR1326,2014/15
15AR1327,2014/15
15AR1328,2014/15
15AR1329,2014/15
15AR1330,2014/15
15AR1331,2014/15
15AR1332,2014/15
15AR1333,2014/15
15AR1334,2014/15
15AR1335,2014/15
15AR1336,2014/15
15AR1337,2014/15
15AR1338,2014/15
15AR1398,2014/15
15AR1399,2014/15
15AR1403,2014/15
15AR1447,2014/15
15AR1454,2014/15
15AR1460,2014/15
15AR1624,2014/15
15AR1625,2014/15
15AR1626,2014/15
15AR1627,2014/15
15AR1629,2014/15
15AR1630,2014/15
15AR1631,2014/15
15AR1632,2014/15
15AR1633,2014/15
